Level,RequiredExp
1,10
2,28
3,52
4,80
5,112
6,147
7,185
8,226
9,270
10,316
11,365
12,416
13,469
14,524
15,581
16,640
17,701
18,764
19,828
20,894
21,962
22,1032
23,1103
24,1176
25,1250
26,1326
27,1403
28,1482
29,1562
30,1643
31,1726
32,1810
33,1896
34,1983
35,2071
36,2160
37,2251
38,2342
39,2436
40,2530
41,2625
42,2722
43,2820
44,2919
45,3019
46,3120
47,3222
48,3326
49,3430
50,3536
51,3642
52,3750
53,3858
54,3968
55,4079
56,4191
57,4303
58,4417
59,4532
60,4648
61,4764
62,4882
63,5000
64,5120
65,5240
66,5362
67,5484
68,5607
69,5732
70,5857
71,5983
72,6109
73,6237
74,6366
75,6495
76,6626
77,6757
78,6889
79,7022
80,7155
81,7290
82,7425
83,7562
84,7699
85,7837
86,7975
87,8115
88,8255
89,8396
90,8538
91,8681
92,8824
93,8969
94,9114
95,9259
96,9406
97,9553
98,9702
99,9850
100,10000
101,10150
102,10301
103,10453
104,10606
105,10759
106,10913
107,11068
108,11224
109,11380
110,11537
111,11695
112,11853
113,12012
114,12172
115,12332
116,12494
117,12655
118,12818
119,12981
120,13145
121,13310
122,13475
123,13641
124,13808
125,13975
126,14143
127,14312
128,14482
129,14652
130,14822
131,14994
132,15166
133,15338
134,15512
135,15686
136,15860
137,16035
138,16211
139,16388
140,16565
141,16743
142,16921
143,17100
144,17280
145,17460
146,17641
147,17823
148,18005
149,18188
150,18371
151,18555
152,18740
153,18925
154,19111
155,19297
156,19484
157,19672
158,19860
159,20049
160,20239
161,20429
162,20619
163,20810
164,21002
165,21195
166,21388
167,21581
168,21775
169,21970
170,22165
171,22361
172,22558
173,22755
174,22952
175,23150
176,23349
177,23548
178,23748
179,23949
180,24150
181,24351
182,24553
183,24756
184,24959
185,25163
186,25367
187,25572
188,25777
189,25983
190,26190
191,26397
192,26604
193,26812
194,27021
195,27230
196,27440
197,27650
198,27861
199,28072
200,28284
201,28497
202,28710
203,28923
204,29137
205,29352
206,29567
207,29782
208,29998
209,30215
210,30432
211,30650
212,30868
213,31086
214,31306
215,31525
216,31745
217,31966
218,32187
219,32409
220,32631
221,32854
222,33077
223,33301
224,33525
225,33750
226,33975
227,34201
228,34427
229,34654
230,34881
231,35109
232,35337
233,35566
234,35795
235,36025
236,36255
237,36486
238,36717
239,36949
240,37181
241,37413
242,37646
243,37880
244,38114
245,38349
246,38584
247,38819
248,39055
249,39292
250,39528
251,39766
252,40004
253,40242
254,40481
255,40720
256,40960
257,41200
258,41441
259,41682
260,41924
261,42166
262,42408
263,42651
264,42895
265,43139
266,43383
267,43628
268,43873
269,44119
270,44366
271,44612
272,44859
273,45107
274,45355
275,45604
276,45853
277,46102
278,46352
279,46602
280,46853
281,47104
282,47356
283,47608
284,47861
285,48114
286,48367
287,48621
288,48875
289,49130
290,49385
291,49641
292,49897
293,50154
294,50410
295,50668
296,50926
297,51184
298,51443
299,51702
300,51962
301,52222
302,52482
303,52743
304,53004
305,53266
306,53528
307,53791
308,54054
309,54317
310,54581
311,54845
312,55110
313,55375
314,55641
315,55907
316,56173
317,56440
318,56708
319,56975
320,57243
321,57512
322,57781
323,58050
324,58320
325,58590
326,58861
327,59132
328,59403
329,59675
330,59947
331,60220
332,60493
333,60767
334,61041
335,61315
336,61590
337,61865
338,62141
339,62417
340,62693
341,62970
342,63247
343,63524
344,63802
345,64081
346,64360
347,64639
348,64919
349,65199
350,65479
351,65760
352,66041
353,66323
354,66605
355,66887
356,67170
357,67453
358,67737
359,68021
360,68305
361,68590
362,68875
363,69161
364,69447
365,69733
366,70020
367,70307
368,70595
369,70883
370,71171
371,71460
372,71749
373,72038
374,72328
375,72618
376,72909
377,73200
378,73492
379,73783
380,74076
381,74368
382,74661
383,74955
384,75248
385,75542
386,75837
387,76132
388,76427
389,76723
390,77019
391,77315
392,77612
393,77909
394,78207
395,78505
396,78803
397,79102
398,79401
399,79700
400,80000
401,80300
402,80601
403,80902
404,81203
405,81505
406,81807
407,82109
408,82412
409,82715
410,83019
411,83323
412,83627
413,83932
414,84237
415,84542
416,84848
417,85154
418,85460
419,85767
420,86074
421,86382
422,86690
423,86998
424,87307
425,87616
426,87925
427,88235
428,88545
429,88856
430,89167
431,89478
432,89790
433,90101
434,90414
435,90726
436,91039
437,91353
438,91667
439,91981
440,92295
441,92610
442,92925
443,93241
444,93557
445,93873
446,94189
447,94506
448,94824
449,95141
450,95459
451,95778
452,96097
453,96416
454,96735
455,97055
456,97375
457,97695
458,98016
459,98337
460,98659
461,98981
462,99303
463,99626
464,99949
465,100272
466,100596
467,100920
468,101244
469,101569
470,101894
471,102219
472,102545
473,102871
474,103197
475,103524
476,103851
477,104178
478,104506
479,104834
480,105163
481,105492
482,105821
483,106150
484,106480
485,106810
486,107141
487,107472
488,107803
489,108134
490,108466
491,108798
492,109131
493,109464
494,109797
495,110131
496,110464
497,110799
498,111133
499,111468
500,111803
501,112139
502,112475
503,112811
504,113148
505,113485
506,113822
507,114159
508,114497
509,114836
510,115174
511,115513
512,115852
513,116192
514,116532
515,116872
516,117213
517,117554
518,117895
519,118236
520,118578
521,118920
522,119263
523,119606
524,119949
525,120293
526,120636
527,120981
528,121325
529,121670
530,122015
531,122361
532,122706
533,123053
534,123399
535,123746
536,124093
537,124440
538,124788
539,125136
540,125485
541,125833
542,126182
543,126532
544,126882
545,127232
546,127582
547,127933
548,128284
549,128635
550,128986
551,129338
552,129691
553,130043
554,130396
555,130749
556,131103
557,131457
558,131811
559,132165
560,132520
561,132875
562,133231
563,133587
564,133943
565,134299
566,134656
567,135013
568,135370
569,135728
570,136086
571,136444
572,136803
573,137161
574,137521
575,137880
576,138240
577,138600
578,138961
579,139321
580,139682
581,140044
582,140406
583,140768
584,141130
585,141493
586,141856
587,142219
588,142582
589,142946
590,143311
591,143675
592,144040
593,144405
594,144770
595,145136
596,145502
597,145868
598,146235
599,146602
600,146969
601,147337
602,147705
603,148073
604,148442
605,148810
606,149179
607,149549
608,149919
609,150289
610,150659
611,151030
612,151400
613,151772
614,152143
615,152515
616,152887
617,153260
618,153632
619,154005
620,154379
621,154752
622,155126
623,155501
624,155875
625,156250
626,156625
627,157001
628,157376
629,157752
630,158129
631,158505
632,158882
633,159260
634,159637
635,160015
636,160393
637,160772
638,161150
639,161529
640,161909
641,162288
642,162668
643,163048
644,163429
645,163810
646,164191
647,164572
648,164954
649,165336
650,165718
651,166101
652,166484
653,166867
654,167250
655,167634
656,168018
657,168402
658,168787
659,169172
660,169557
661,169943
662,170328
663,170714
664,171101
665,171487
666,171874
667,172262
668,172649
669,173037
670,173425
671,173814
672,174202
673,174591
674,174981
675,175370
676,175760
677,176150
678,176541
679,176931
680,177322
681,177714
682,178105
683,178497
684,178889
685,179282
686,179674
687,180067
688,180461
689,180854
690,181248
691,181642
692,182037
693,182432
694,182827
695,183222
696,183617
697,184013
698,184409
699,184806
700,185203
701,185600
702,185997
703,186394
704,186792
705,187190
706,187589
707,187988
708,188387
709,188786
710,189185
711,189585
712,189985
