StageId,StageType,BGM,EnemyIds,HPRate,AtkRate,DefRate,RewardRate,InitCount,AddCount,BossEnemyId,RewardType,BossRewardAmount,BossStatRate
1,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1,1,1,1,40,20,Skeleton_Knight,Diamond,1000,10
2,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.05,1.05,1.05,1.05,40,20,Skeleton_Archer,EnhanceStone,100,10.5
3,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.1,1.1,1.1,1.1,40,20,Skeleton_Warrior,SkillGem,100,11
4,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.15,1.15,1.15,1.15,40,20,Skeleton_Shield,Diamond,1000,11.5
5,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.2,1.2,1.2,1.2,40,20,Skeleton_Knight,EnhanceStone,100,12
6,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.25,1.25,1.25,1.25,40,20,Skeleton_Archer,SkillGem,100,12.5
7,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.3,1.3,1.3,1.3,40,20,Skeleton_Warrior,Diamond,1000,13
8,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.35,1.35,1.35,1.35,40,20,Skeleton_Shield,EnhanceStone,100,13.5
9,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.4,1.4,1.4,1.4,40,20,Skeleton_Knight,SkillGem,100,14
10,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.45,1.45,1.45,1.45,40,20,Skeleton_Archer,Diamond,1000,14.5
11,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.5,1.5,1.5,1.5,40,20,Skeleton_Warrior,EnhanceStone,100,15
12,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.55,1.55,1.55,1.55,40,20,Skeleton_Shield,SkillGem,100,15.5
13,Forest,BGM_Forest,Skeleton_Knight;Skeleton_Archer;Skeleton_Warrior;Skeleton_Shield,1.6,1.6,1.6,1.6,40,20,Skeleton_Knight,Diamond,1000,16
